DL/UL;time;frame;subF;slot;1stSym;symbol#;cellId;rnti;ccId;tbSize;mcs;rv;SINR(dB);corrupt;TBler
DL;0.00403571;0;4;0;1;1;1;1;0;88;0;0;279.558;0;0
UL;0.00503571;0;5;0;1;1;1;1;0;88;0;0;279.558;0;0
DL;0.00578571;0;5;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0340357;3;4;0;1;1;1;1;0;88;0;0;279.558;0;0
UL;0.0350357;3;5;0;1;1;1;1;0;88;0;0;279.558;0;0
DL;0.0357857;3;5;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0407857;4;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0427857;4;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0507857;5;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0527857;5;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0607857;6;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0627857;6;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0707857;7;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0727857;7;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0807857;8;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0827857;8;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.0907857;9;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.0927857;9;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.100786;10;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.102786;10;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.110786;11;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.112786;11;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.120786;12;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.122786;12;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.130786;13;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.132786;13;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.140786;14;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.142786;14;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.150786;15;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.152786;15;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.160786;16;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.162786;16;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
UL;0.170786;17;0;3;1;1;1;1;0;2126;28;0;279.558;0;0
DL;0.172786;17;2;3;1;1;1;1;0;2126;28;0;279.558;0;0
